X,Y,class,BRUVid,BRUV,BRUV.date,BOSS,BOSS.date,ObjectId,GlobalID,x2,y2
114.8813721,-34.05118897,MBH,154,,,,,155,90c09ff9-9866-484c-8e52-23fb9e9736ef,114.8813721,-34.05118897
114.8838721,-34.04368897,MBH,155,Y,16/10/2020,,,156,ddc79b51-8243-4466-a61d-37b2dee3aac5,114.8838721,-34.04368897
114.8763721,-34.04868897,MBH,156,Y,16/10/2020,,,157,5b0bc51d-370f-4a4f-9c97-4ad03e555248,114.8763721,-34.04868897
114.8238721,-33.97118897,MBH,157,F,13/10/2020,Y,30/10/2020,158,524c39d1-20eb-4e3c-a686-7dc35eeade66,114.8238721,-33.97118897
114.8188721,-33.98118897,MBH,158,Y,13/10/2020,Y,30/10/2020,159,7a124bd8-a3a2-46bf-9d23-dfcba37f7370,114.8188721,-33.98118897
114.8338721,-34.00118897,MBH,159,,,,,160,ccaa9eb4-257e-4715-8f4c-1843eea6b0f2,114.8338721,-34.00118897
114.8388721,-34.00368897,MBH,160,,,,,161,ce531784-e829-4ad4-ae26-23e61af329a5,114.8388721,-34.00368897
114.8313721,-34.00868897,MBH,161,,,,,162,2784804f-1ae0-4296-a82c-6340ebd3ce7f,114.8313721,-34.00868897
114.8363721,-33.99618897,MBH,162,,,,,163,d417edeb-7ebe-4eef-98f1-51aaa8817e8c,114.8363721,-33.99618897
114.8288721,-34.00118897,MBH,163,,,,,164,1e731bd7-4546-45a1-a3e2-f3fac47e407f,114.8288721,-34.00118897
114.9038721,-34.03368897,MBH,164,Y,16/10/2020,,,165,345ef359-7675-4c48-acde-5669bc9c4c43,114.9038721,-34.03368897
114.8988721,-34.04368897,MBH,165,Y,16/10/2020,,,166,3f1fa6f1-decd-4ffb-aa75-d6bc36227ce8,114.8988721,-34.04368897
114.9088721,-34.04618897,MBH,166,,,,,167,4155c69e-8274-433a-9191-6264e6bd39d3,114.9088721,-34.04618897
114.5838721,-34.00868897,MBH,167,,,,,168,cb9bbd2d-4545-4846-bf85-547166da7d26,114.5838721,-34.00868897
114.4638721,-33.98118897,MBH,168,,,,,169,68d1be2b-20e7-4773-902a-89fef55ee959,114.4638721,-33.98118897
114.4763721,-33.98618897,MBH,169,,,,,170,7c1538b9-76f7-4614-aa09-09e8d0bc0730,114.4763721,-33.98618897
114.4763721,-33.99118897,MBH,170,,,,,171,1d413a4e-8028-4608-8714-a6d57e2161ef,114.4763721,-33.99118897
114.4713721,-33.98868897,MBH,171,,,,,172,4726a02c-436b-4ede-8de1-12bc57ebd027,114.4713721,-33.98868897
114.4713721,-33.98368897,MBH,172,,,,,173,2267c82f-d80b-4548-b566-6b172cb905bb,114.4713721,-33.98368897
114.8313721,-33.99368897,MBH,173,,,,,174,97be4114-3e1c-4152-88eb-127632e0d231,114.8313721,-33.99368897
114.8413721,-33.99618897,MBH,174,,,,,175,4043704a-3c7e-442f-b98e-42443fa9f484,114.8413721,-33.99618897
114.6763721,-33.98868897,MBH,175,,,,,176,bb764841-5ee2-4c6c-b300-949d08ac2f02,114.6763721,-33.98868897
114.7288721,-34.02868897,MBH,176,,,,,177,b86d10d1-9d1e-493d-9849-cd8c99c4150a,114.7288721,-34.02868897
114.7313721,-34.01368897,MBH,177,,,,,178,231d18cd-6404-4811-847b-c0ffde705817,114.7313721,-34.01368897
114.7238721,-34.01868897,MBH,178,,,Y,4/11/2020,179,a2002bfd-4d3c-467d-8e33-70950a62f7ef,114.7238721,-34.01868897
